Wall time,Step,Value
1713742305.079515,2560,2046.0
1713742322.5872176,5120,2046.0
1713742339.1845572,7680,2046.0
1713742357.9898403,10240,2046.0
1713742375.4090073,12800,2046.0
1713742392.9045765,15360,2046.0
1713742410.5550745,17920,2046.0
1713742428.0012357,20480,2046.0
1713742445.654297,23040,2046.0
1713742462.9895527,25600,2046.0
1713742479.7465498,28160,2046.0
1713742497.374912,30720,2046.0
1713742514.5706592,33280,2046.0
1713742531.7249258,35840,2046.0
1713742549.3343115,38400,2046.0
1713742566.1822808,40960,2046.0
1713742581.220018,43520,2046.0
1713742596.37913,46080,2046.0
1713742611.637201,48640,2046.0
1713742627.4553456,51200,2046.0
1713742642.548857,53760,2046.0
1713742658.362738,56320,1984.1785888671875
1713742674.2990358,58880,1986.310302734375
1713742689.386588,61440,1988.300048828125
1713742705.4253533,64000,1991.90625
1713742720.6527967,66560,1993.54541015625
1713742735.7931106,69120,1995.0882568359375
1713742750.749549,71680,1996.5428466796875
1713742767.25871,74240,1999.2161865234375
1713742782.3549235,76800,2000.4473876953125
1713742797.6805284,79360,2001.6153564453125
1713742813.1015816,81920,2002.7249755859375
1713742828.865855,84480,2004.7857666015625
1713742844.2729197,87040,2005.744140625
1713742859.503179,89600,2006.6590576171875
1713742875.3118885,92160,2003.391357421875
1713742890.3618755,94720,2004.2978515625
1713742905.4271789,97280,1999.1875
1713742921.4214494,99840,1966.280029296875
1713742936.6451333,102400,1967.8431396484375
1713742952.5680833,104960,1970.79248046875
1713742968.5544317,107520,1948.654541015625
1713742983.7636557,110080,1950.392822265625
1713742999.1091778,112640,1952.0701904296875
1713743014.2854352,115200,1953.689697265625
1713743030.1966417,117760,1956.7667236328125
1713743045.2986965,120320,1958.2294921875
1713743060.5210075,122880,1959.6451416015625
1713743075.5869308,125440,1961.015869140625
1713743091.7444835,128000,1963.6307373046875
1713743107.0444613,130560,1964.8787841796875
1713743122.337376,133120,1966.089599609375
1713743137.5713418,135680,1967.2646484375
1713743153.3480654,138240,1969.5142822265625
1713743168.2450576,140800,1970.591552734375
1713743183.310875,143360,1971.638916015625
1713743198.4385302,145920,1972.6575927734375
1713743214.363347,148480,1974.61328125
1713743229.3738892,151040,1975.5526123046875
1713743244.5063117,153600,1976.467529296875
1713743260.3567371,156160,1972.6329345703125
1713743275.3338158,158720,1973.550048828125
1713743290.616982,161280,1974.4444580078125
1713743305.6163056,163840,1975.3170166015625
1713743321.4948623,166400,1977.0
1713743336.518575,168960,1963.88232421875
1713743352.268738,171520,1965.7701416015625
1713743367.342357,174080,1966.6817626953125
1713743382.5380142,176640,1967.572998046875
1713743398.2020514,179200,1963.19775390625
1713743413.2471206,181760,1964.0977783203125
1713743428.3316085,184320,1964.978515625
1713743444.1049798,186880,1966.6842041015625
1713743459.7752109,189440,1950.45361328125
1713743474.7302377,192000,1951.4285888671875
1713743489.836347,194560,1952.3837890625
1713743505.7428608,197120,1935.6800537109375
1713743520.7959712,199680,1935.6800537109375
1713743536.6235821,202240,1934.8900146484375
1713743551.6018703,204800,1934.8900146484375
1713743566.5673761,207360,1934.8900146484375
1713743582.3615909,209920,1934.8900146484375
1713743597.489494,212480,1934.8900146484375
1713743612.6151376,215040,1934.8900146484375
1713743628.480022,217600,1917.3399658203125
1713743643.3359828,220160,1917.3399658203125
