Wall time,Step,Value
1713742305.0795965,2560,-8.736342430114746
1713742322.5873148,5120,-7.015453338623047
1713742339.1846642,7680,-5.965530872344971
1713742357.9899504,10240,-5.579773902893066
1713742375.409107,12800,-4.746702671051025
1713742392.904667,15360,-4.525749206542969
1713742410.5552242,17920,-4.601828575134277
1713742428.0013185,20480,-4.170268535614014
1713742445.6543713,23040,-4.396000862121582
1713742462.989636,25600,-4.258518695831299
1713742479.7466276,28160,-4.001939296722412
1713742497.375013,30720,-3.8694326877593994
1713742514.5707445,33280,-3.7288172245025635
1713742531.7250314,35840,-3.63474440574646
1713742549.3344295,38400,-3.6842238903045654
1713742566.1823537,40960,-3.6541905403137207
1713742581.2201002,43520,-3.785900831222534
1713742596.3792074,46080,-4.008121967315674
1713742611.637277,48640,-3.8080854415893555
1713742627.4554176,51200,-3.4777328968048096
1713742642.5489602,53760,-3.250053644180298
1713742658.3628113,56320,-2.9594101905822754
1713742674.2991312,58880,-3.060662031173706
1713742689.386664,61440,-2.9566094875335693
1713742705.4254472,64000,-2.826425075531006
1713742720.6528695,66560,-2.8285105228424072
1713742735.79322,69120,-2.799112319946289
1713742750.7496645,71680,-2.924258232116699
1713742767.2588115,74240,-2.918611764907837
1713742782.355,76800,-2.7379989624023438
1713742797.6806388,79360,-2.9076921939849854
1713742813.101722,81920,-2.8992414474487305
1713742828.8659573,84480,-2.6342482566833496
1713742844.2730055,87040,-2.5894083976745605
1713742859.5032482,89600,-2.5839059352874756
1713742875.3119645,92160,-2.2719342708587646
1713742890.3619516,94720,-2.253697395324707
1713742905.4272633,97280,-2.008307695388794
1713742921.421524,99840,-1.8661600351333618
1713742936.6452115,102400,-1.8178688287734985
1713742952.5681832,104960,-1.706560492515564
1713742968.5545301,107520,-1.6250114440917969
1713742983.7637274,110080,-1.5980709791183472
1713742999.109251,112640,-1.5650986433029175
1713743014.285529,115200,-1.5572947263717651
1713743030.196751,117760,-1.5623493194580078
